net,length_um
_02149_,169.39µm
_04127_,169.145µm
_03164_,169.04µm
net147,168.555µm
_03631_,168.415µm
net1030,168.375µm
cnn_inst.comm_mem_u0.o_img_row05\[21\],168.095µm
net994,168.055µm
_02087_,167.96µm
_05525_,167.355µm
cnn_inst.comm_mem_u0.o_img_row02\[3\],167.305µm
net316,167.285µm
_03519_,167.165µm
net624,167.105µm
net649,166.9µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[2\],166.89µm
net447,166.77µm
net594,166.625µm
cnn_inst.comm_mem_u0.o_img_row04\[24\],166.585µm
_01806_,166.45µm
net943,166.415µm
net684,166.39µm
net582,166.335µm
net853,166.125µm
net949,166.015µm
net604,165.915µm
net135,165.655µm
net893,165.45µm
_01809_,165.175µm
net137,165.165µm
_03160_,165.145µm
net750,165.04µm
_02717_,165.035µm
net261,165.035µm
_02011_,165.02µm
cnn_inst.comm_mem_u0.o_img_row02\[22\],164.6µm
net715,164.53µm
cnn_inst.comm_mem_u0.o_img_row07\[8\],163.85µm
_06115_,163.77µm
net641,163.35µm
_02644_,162.84µm
net843,162.56µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[39\],162.04µm
net456,161.965µm
net836,161.94µm
_04708_,161.935µm
net497,161.86µm
cnn_inst.comm_mem_u0.o_img_row05\[6\],161.72µm
_03958_,161.7µm
net565,161.51µm
net883,161.435µm
net133,161.355µm
net284,161.29µm
net888,161.06µm
cnn_inst.comm_mem_u0.o_img_row07\[14\],160.92µm
net538,160.88µm
net216,160.855µm
_02719_,160.515µm
net439,160.47µm
net416,160.005µm
net879,159.91µm
cnn_inst.comm_mem_u0.o_img_row03\[1\],159.755µm
net787,159.535µm
net855,159.46µm
net441,159.45µm
net307,159.355µm
net95,159.145µm
net792,158.805µm
_01817_,158.525µm
net136,158.29µm
cnn_inst.comm_mem_u0.o_img_row06\[20\],157.39µm
net555,157.32µm
net587,157.315µm
net384,157.16µm
_05189_,157.075µm
net211,156.975µm
_03576_,156.585µm
_02680_,156.46µm
_02451_,156.34µm
net161,156.29µm
net600,156.26µm
_05837_,156.14µm
net830,155.9µm
net400,155.82µm
net504,155.81µm
net227,155.76µm
net482,155.75µm
_02535_,155.62µm
cnn_inst.comm_mem_u0.o_img_row05\[15\],155.55µm
_01687_,155.31µm
net152,155.305µm
_03991_,154.915µm
net425,154.905µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[73\],154.89µm
net621,154.845µm
net123,154.66µm
_06753_,154.58µm
net703,154.485µm
net149,154.4µm
_02264_,154.1µm
_03242_,153.835µm
net215,153.61µm
net1055,153.47µm
net678,153.31µm
net507,153.27µm
net383,153.185µm
net610,152.79µm
_01837_,152.535µm
net391,152.505µm
net258,152.28µm
net322,152.11µm
_02704_,152.09µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[61\],151.83µm
net463,151.785µm
net187,151.555µm
_02161_,151.51µm
net676,151.42µm
_04746_,151.39µm
net716,151.375µm
cnn_inst.comm_mem_u0.o_img_row08\[7\],151.16µm
net254,151.14µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_acc\[8\],151.045µm
_04636_,150.9µm
net640,150.88µm
net266,150.755µm
net841,150.665µm
_04164_,150.625µm
net23,150.485µm
net566,150.465µm
cnn_inst.comm_mem_u0.o_img_row02\[9\],150.09µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[2\],150.07µm
net679,149.975µm
net66,149.935µm
_01990_,149.665µm
_01549_,149.62µm
net552,149.365µm
_01885_,149.325µm
net1094,149.23µm
net794,149.09µm
_02858_,148.81µm
net573,148.805µm
_01579_,148.735µm
net381,148.66µm
_06101_,148.65µm
_04254_,148.225µm
net603,148.205µm
_01876_,147.855µm
net340,147.68µm
cnn_inst.comm_mem_u0.o_img_row03\[19\],147.42µm
net304,147.345µm
net700,147.3µm
net589,147.29µm
cnn_inst.comm_mem_u0.o_img_row09\[28\],147.26µm
net782,146.82µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[17\],146.795µm
net780,146.665µm
net96,146.555µm
cnn_inst.comm_mem_u0.o_img_row05\[24\],146.395µm
net683,146.305µm
_00025_,146.22µm
net810,146.155µm
net797,146.05µm
net838,145.96µm
net414,145.845µm
net806,145.475µm
net41,145.245µm
net798,144.945µm
net318,144.76µm
net172,144.66µm
_05182_,144.635µm
net14,144.61µm
net991,144.575µm
net869,144.165µm
net707,143.925µm
net862,143.805µm
net903,143.805µm
net637,143.8µm
_05764_,143.49µm
net1003,143.4µm
net336,143.385µm
_02072_,143.32µm
_03265_,143.18µm
cnn_inst.comm_mem_u0.o_img_row04\[13\],143.14µm
cnn_inst.comm_mem_u0.o_img_row00\[19\],143.07µm
net265,143.07µm
_05508_,143.055µm
_03628_,142.85µm
cnn_inst.comm_mem_u0.o_img_row08\[15\],142.695µm
net75,142.685µm
net94,142.625µm
_06095_,142.46µm
net1016,142.46µm
net558,142.455µm
_01883_,142.325µm
cnn_inst.comm_mem_u0.spi_u0.weight_shift\[1\],142.28µm
_02133_,141.915µm
_01918_,141.9µm
net1024,141.895µm
net918,141.62µm
net389,141.385µm
net107,141.295µm
net1045,141.07µm
net11,140.945µm
net462,140.905µm
net890,140.745µm
_02534_,140.64µm
net595,140.5µm
cnn_inst.comm_mem_u0.o_img_row05\[28\],140.08µm
net608,140.07µm
net877,139.92µm
net698,139.705µm
net938,139.65µm
net58,139.535µm
_02115_,139.4µm
_04478_,139.14µm
net650,139.135µm
net655,138.975µm
net846,138.94µm
net783,138.93µm
net386,138.925µm
net21,138.89µm
net889,138.76µm
net966,138.71µm
cnn_inst.comm_mem_u0.o_img_row05\[25\],138.44µm
_01955_,138.435µm
cnn_inst.comm_mem_u0.o_img_row07\[20\],138.235µm
cnn_inst.comm_mem_u0.spi_u0.weight_shift\[2\],138.135µm
net631,138.09µm
cnn_inst.comm_mem_u0.o_img_row04\[3\],138.015µm
net945,137.82µm
net598,137.805µm
cnn_inst.comm_mem_u0.o_img_row03\[9\],137.68µm
net971,137.475µm
net973,137.455µm
_03607_,137.43µm
_05513_,137.24µm
_02809_,137.19µm
_01810_,137.01µm
net293,137µm
net276,136.735µm
net471,136.645µm
